id,empresa,nps,npstipo,causa1,causa2,causa3,region,prod,verbatim
2000003839,Movistar,8,Neutros,Los precios y variedad de planespacks,Plan todo en uno (combina llamados mensajes de texto datos,Precio del equipo,AMBA,Mixto,POR LOS DATOS PARA ENTRAR A INTERNET TIENE QUE MEJORAR HAY VARIOS LUGARES QUE NO PUEDO INGRESAR POR LA ZONA DONDE VIVO
2000012342,Movistar,6,Detractores,La calidad y cobertura de la señal,Calidad de llamadas,Calidad de llamadas,AMBA,Mixto,FALLA COMUNICACION LLAMADAS QUE CAEN CONTESTARA Y FALLA ESTANDO EL TELEFONO PRENDIDO
2000149687,Movistar,8,Neutros,La calidad y cobertura de la señal,Calidad de llamadas,Calidad de llamadas,LITORAL,Mixto,LA SEÑAL NO INGRESA MIS MENSAJES
2000016247,Claro,10,Promotores,Los precios y variedad de planespacks,Packs (sms + internet sms+minutos contestador nros grati,Otros,AMBA,Prepago,PORQUE TIENE BUEN INTERNET LOS MENSAJES SON MUY RAPIDOS LAS LLAMDAS TODO MUY BIEN EJEMPLO ES MUY RAPIDO OSEA ESTA MUY BUENO
2000013089,Movistar,6,Detractores,La calidad y cobertura de la señal,Cobertura de la señal (para Solo voz yo sms),Cobertura de la señal,AMBA,Mixto,EN ESTE MOMENTO ESTOY EN EL PATIO Y AUN ASI SE CORTA LA SEÑAL SIEMPRE QUE LLAME Y ME QUEJE NUNCA ME SOLUCIONARON LOS PROBLEMAS YO PAGO UNA MENSUALIDAD NO USO EL SALDO COMPLETO Y NO ME PARECE JUSTO PERDER EL SOBRANTE DE CREDITO
2000176871,Personal,7,Neutros,La calidad y cobertura de la señal,Velocidad de conexión a internet desde el celular,Velocidad de conexión a internet desde el celular,SUR,Mixto,EL SERVICIO INTERNET SE CAE MUCHO ES LENTO
2000176013,Claro,8,Neutros,La calidad y cobertura de la señal,Cobertura de la señal (para Solo voz yo sms),Cobertura de la señal,SUR,Postpago,NO TENGO NADA PARA QUE MEJORE LO QUE USO PARA MI ES SUFICIENTE NO LE PUEDO PONER 9 O 10 PORQUE PARA MI ES DEMASIADO COLOCAR ESO PARA MI 8 ESTA BIEN
2000007233,Movistar,9,Promotores,La calidad y cobertura de la señal,Calidad de llamadas,Calidad de llamadas,AMBA,Prepago,PORQUE ES SENCILLO TIENE BUENA SEÑALEJEMPLO HAY PARTES DONDE SE QUEDA SEÑAL Y NO SE SI ES MOVISTAR QUE TIENE PROBLEMAS EN LA ZONA Y POR ESE MOTIVO NO CALIFICO CON 10
2000016630,Claro,5,Detractores,La calidad y cobertura de la señal,Cobertura de la señal (para Solo voz yo sms),Cobertura de la señal,AMBA,Prepago,PORQUE NO ME GUSTA LA SEÑAL Y PUEDO COMUNICAR EN EL WHATSAPPY MENSAJES SOLO USA PARA CLARO A CLARO
2000017932,Movistar,2,Detractores,La calidad y cobertura de la señal,Velocidad de conexión a internet desde el celular,Velocidad de conexión a internet desde el celular,AMBA,Mixto,LE PONGO 2 A MOVISTAR POR LOS SIEGUIENTES MOTIVOS EN MI ZONA NO TENGO SEÑAL EL INTERNET NO LO PUEDO USAR LAS SUSCRIPCIONES ME CONSUMEN EL CREDITO ME VOY A PESACAR O PASEAR Y NO TENGO NADA DE CEÑAL YA DESDE MI CASA NO HAY SEÑAL SOLO EN BUENOS AIRES SOLO ME FUNCIONA Y EN LA PLATA TAMBIEN
2000156301,Claro,7,Neutros,La atención al cliente,Tiempo de espera en la atención (telefónica locales comerci,Tiempo de espera en la atención telefónica,LITORAL,Postpago,A VECES SISTEMA NO SE PUEDE ENVIAR PORQUE NO HAY INTERNET
2000010208,Movistar,3,Detractores,La calidad y cobertura de la señal,Cobertura de la señal (para Solo voz yo sms),Cobertura de la señal,AMBA,Postpago,FALTA DE SEÑAL EN LAS ISLAS PARA HABLAR
2000016149,Claro,8,Neutros,La calidad y cobertura de la señal,Cobertura de la señal (para Solo voz yo sms),Cobertura de la señal,AMBA,Prepago,MEJORAR LA SEÑAL
2000156997,Claro,8,Neutros,Los precios y variedad de planespacks,Números gratisamigoscomunidad,Mensajes de texto incluidos en el plan,LITORAL,Mixto,HAY POCAS ANTENAS EN LUGAR Y HAY LUGARES DONDE NO HAY SEÑAL Y ESO EVITA QUE TENGAMOS SERVICIO
2000018116,Movistar,7,Neutros,La calidad y cobertura de la señal,Cobertura de la señal (para Solo voz yo sms),Cobertura de la señal,AMBA,Postpago,QUE MEJORE LA RECEPCION DE INTERNET DA5TOS MOVILES EN CASA 3ES MUY LENTO O SE CORTA
2000177309,Claro,9,Promotores,La calidad y cobertura de la señal,Calidad de envío de mensajes (SMS yo Whatsapp yu otras apl,Calidad de envío de mensaje de texto (SMS),SUR,Prepago,PORQUE NUNCA HE TENIDO PROBLEMAS HAY PARIENTES QUE TIENEN OTRAS LINEAS Y SE QUEJAN AQUI EN MI BARRIO PERSONAL SE QUEDA SIN LINEA Y YO NUNCA TUBE PROBLEMAS CON CLARO Y NO LO USO MUCHO Y POR ESO  NO PUEDO QUEJAR
2000014005,Movistar,10,Promotores,Los precios y variedad de planespacks,Plan todo en uno (combina llamados mensajes de texto datos,Precio del equipo,AMBA,Mixto,ES UNA BUENA EMPRESA TE DAN MUCHOS BENEFICOS ME DAN MUCHOS MEGAS PARA TENGO WHAT ILIMITADO TENGO MUCHAS LLAMADASME GUSTA MAS MOVISTAR QUE LAS OTRAS COMPAÑIAS
2000012855,Movistar,7,Neutros,Los precios y variedad de planespacks,Precio del plan,Precio del planBeneficios en las recargas (Doble crédito m,AMBA,Postpago,TIENE QUE MEJORAR LOS PRECIOS DE LOS ABONOS ES MUY CARO PARA LOS 10 GB QUE ME DAN
2000001270,Personal,9,Promotores,La calidad y cobertura de la señal,Velocidad de conexión a internet desde el celular,Velocidad de conexión a internet desde el celular,AMBA,Mixto,PORQUE GENERALMENTE TENGO BUEN SERVICIO EN CUANTO CONEXION DE INTERNET MENSAJES Y LLAMADAS Y CUANDO TENGO ALGUN PROBLEMA TIENEN VARIAS VIAS DE COMUNICACION Y ATIENDEN RAPIDO
2000005910,Movistar,10,Promotores,La atención al cliente,Tiempo de espera en la atención (telefónica locales comerci,Tiempo de espera en la atención telefónica,AMBA,Postpago,PORQUE TUVE LAS OTRAS COMPAÑIAS SON CERO NO TENGO PROBLEMAS TENGO SEÑAL EN TODOS LADOS YO VIAJO MUCHO ME PUDO COMUNICAR SIMEPRE Y SI TENGO ALGUN PROBLEMA ME LO SOLUCIONAN
2000000961,Movistar,7,Neutros,La calidad y cobertura de la señal,Calidad de llamadas,Calidad de llamadas,AMBA,Mixto,LA VELOCIDAD DEL INTERNET PORQUE POR MOMENTOS SE VA LA SEÑAL
2000016944,Claro,9,Promotores,La atención al cliente,Atención en servicio técnico,Atención en servicio técnico,AMBA,Prepago,LA SEÑAL EN TODO ESTO Y LA SEÑAL DE INTERNET QUE AGARRA
2000016543,Claro,6,Detractores,La calidad y cobertura de la señal,Estabilidad de conexión a internet desde el celular,Estabilidad de conexión a internet desde el celular,AMBA,Prepago,PORQUE ES UN POCO COSTOSO
2000015957,Personal,10,Promotores,La calidad y cobertura de la señal,Velocidad de conexión a internet desde el celular,Velocidad de conexión a internet desde el celular,AMBA,Mixto,EN PERSONAL PAGO UNA SOLA CUOTA Y TENGO INTERNET BUENA SEÑAL EN TODOS LADOSTIENE LLAMADAS Y MENSAJES GRATIS A TODA LA COMPAÑIAS NUNCA ME CAMBIAN LA BOLETA Y SI LA CAMBIAN ME AVISAN
2000015799,Claro,10,Promotores,La calidad y cobertura de la señal,Estabilidad de conexión a internet desde el celular,Estabilidad de conexión a internet desde el celular,AMBA,Mixto,PORQUE NO TENGO NINGUN PROBLEMA O  INCONVENIENTE
2000008386,Movistar,8,Neutros,Los servicios adicionales (música videos juegos email re,Descarga de música,Descarga de videos,AMBA,Mixto,SOLO QUE HAY PROBLEMAS CON LA LINEA NO ME MANDAN LA FACTURA CON MI ABONO HAY FECHAS QUE ME AVISAN TARDE Y AVECES ME SUBEN EL ABONO PERO DESPUES DE ALLI ESTOY SATISFECHA
2000168014,Movistar,0,Detractores,La calidad y cobertura de la señal,Velocidad de conexión a internet desde el celular,Velocidad de conexión a internet desde el celular,SUR,Prepago,PORQUE MIS LLAMADAS SE CORTAN LOS MENSAJES LLEGAN TARDES LAS LLAMADAS TENGO QUE MARCAR VARIAS VECES PARA QUE INGRESEN
2000004076,Claro,7,Neutros,Los precios y variedad de planespacks,Plan todo en uno (combina llamados mensajes de texto datos,Precio del equipo,AMBA,Mixto,EL TEMA DE LAS PROMOCIONES (PRECIO DE LA FACTURA) MEJORAR LOS BENEFICIOS QUE BRINDA
2000007837,Movistar,8,Neutros,Los precios y variedad de planespacks,Precio del plan,Precio del planBeneficios en las recargas (Doble crédito m,AMBA,Mixto,TIENE QUE MEJORAR EL PRECIO DE ABONO ME COBRAN POR MUCHAS COSAS CUANDO YO SOLO UTILIZO LLAMADAS TENER TARIFAS MINIMAS
2000008616,Movistar,7,Neutros,La calidad y cobertura de la señal,Calidad de envío de mensajes (SMS yo Whatsapp yu otras apl,Calidad de envío de mensaje de texto (SMS),AMBA,Prepago,MEJORES LOS LUGARES DE SEÑAL DE 4G TENGO MAS BENEFICIOS MAS ALLA DE ELLO
2000004850,Movistar,8,Neutros,La calidad y cobertura de la señal,Cobertura de la señal (para Solo voz yo sms),Cobertura de la señal,AMBA,Prepago,TEMA DE LA SEÑAL SE LE VA LA SEÑAL PUEDE SER POR EL LUGAR DONDE VIVO O POR LAS PAREDES PERO SE ME VA LA SEÑAL EN GENERAL LA LINEA QUEDA EN EMERGENCIA
2000151735,Claro,8,Neutros,La calidad y cobertura de la señal,Velocidad de conexión a internet desde el celular,Velocidad de conexión a internet desde el celular,LITORAL,Prepago,MEJORAR EL INTERNET ANDA MUY LENTO EL 4G EN MI MOBIL QUE ME LLAMEN O ME AVISEN ANTES DE CAMBIAR MI PLAN
2000008728,Movistar,0,Detractores,La calidad y cobertura de la señal,Calidad de llamadas,Calidad de llamadas,AMBA,Mixto,NO TENGO SEÑAL LA MITAD DEL TIEMPO
2000015236,Claro,8,Neutros,Los precios y variedad de planespacks,Otros Especificar,Financiación de equipos,AMBA,Prepago,LA  SEÑAL PARA EL INTERNET Y PARA LAS COMINICACIONES QUE A VECES SE CAE CUANDO UNO QUIERE RECARGAR TENDRIAN QUE PONER CON LA TARJETA VISA
2000007839,Movistar,10,Promotores,La atención al cliente,Cordialidad en la atención (telefónica locales comerciales),Cordialidad en la atención telefónica,AMBA,Prepago,PORQUE ANDA BIEN CON EL TEMA DEL INTERNET NUNCA TUVE PROBLEMAS
2000006219,Movistar,8,Neutros,Los precios y variedad de planespacks,Precio del plan,Precio del planBeneficios en las recargas (Doble crédito m,AMBA,Mixto,EL IMPORTE DEL ABONO
2000010227,Movistar,9,Promotores,Los precios y variedad de planespacks,InternetDatos a través de celular,Plan todo en uno (combina llamados mensajes de texto datos,AMBA,Prepago,PORQUE TIENE MAS CAPACIDAD DE INTERNET Y ES MAS BARATO EN EL INTERNET Y EN LAS LLAMADAS RECARGO 100 PESOS Y ME DURA UNA SEMANA
2000008730,Claro,10,Promotores,La calidad y cobertura de la señal,Estabilidad de conexión a internet desde el celular,Estabilidad de conexión a internet desde el celular,AMBA,Mixto,EXCELENTE SERVICIO
2000003082,Movistar,6,Detractores,Los precios y variedad de planespacks,Precio del plan,Precio del planBeneficios en las recargas (Doble crédito m,AMBA,Mixto,PORQUE 4G NO FUNCIONA NO HAY SEÑAL EN YTODOS LADOS 
2000009103,Movistar,8,Neutros,La (variedad disponibilidad precio) de los equipos celular,Financiación de equipos (cuotas sin interés  cuotas fijas),Opción de comodato,AMBA,Mixto,CON EL TEMA DEL INTERNET QUE ME PARCE MUCHO EL PRECIO DE MI FACTURA
2000009391,Movistar,7,Neutros,Los precios y variedad de planespacks,InternetDatos a través de celular,Plan todo en uno (combina llamados mensajes de texto datos,AMBA,Mixto,LA CALIDAD DEL SERVICIO MUY DIFICIL COMUNICARSE CON LA OPERADORA CUANDO HAY UN INCONVENIENTE
2000158203,Claro,6,Detractores,La modalidad de pago de la factura y compra de producto,Financiación de la factura,Descarga de música,LITORAL,Mixto,PORQUE ME COBRAN MUY CARO EL SERICIO
2000001359,Movistar,9,Promotores,La atención al cliente,Cordialidad en la atención (telefónica locales comerciales),Cordialidad en la atención telefónica,AMBA,Prepago,NO HA TENIDO PROBOLEMA REALMENTE NO
2000169454,Movistar,8,Neutros,La atención al cliente,Tiempo de espera en la atención (telefónica locales comerci,Tiempo de espera en la atención telefónica,SUR,Mixto,EL TEMA DEL INTERNET EL SERVICIO QUE TIENE SE CORTA MUCHO
